,Traverse,Increment,bias,step,Points_visited,final_max,max_mag
47,1.3333333333333335,1.4,24,7,2500,[ 0.000  0.000  0.002  0.011 -12.000  0.000  59.546],59.54628228993088
48,1.3333333333333335,1.8,0,1,2500,[ 0.000  0.000  5.616  6.369 -10.756  0.000  499.806],499.80645449417136
49,1.3333333333333335,1.8,0,4,2500,[ 0.000  0.000  5.628  7.076 -11.297  0.000  535.439],535.4386490493366
50,1.3333333333333335,1.8,0,7,2500,[ 0.000  0.000  5.398  8.648 -11.781  0.000  597.742],597.742415376399
51,1.3333333333333335,1.8,8,1,2500,[ 0.000  0.000  4.768  4.786 -11.732  0.000  333.966],333.9657366729649
52,1.3333333333333335,1.8,8,4,2500,[ 0.000  0.000  0.008  0.026 -12.000  0.000  59.756],59.75641539346719
53,1.3333333333333335,1.8,8,7,2500,[ 0.000  0.000  0.008  0.026 -12.000  0.000  59.752],59.751958128930966
54,1.3333333333333335,1.8,16,1,2500,[ 0.000  0.000  5.398  7.881 -10.453  0.000  579.369],579.3694084833583
55,1.3333333333333335,1.8,16,4,2500,[ 0.000  0.000  0.008  0.025 -12.000  0.000  59.744],59.74351229407705
56,1.3333333333333335,1.8,16,7,2500,[ 0.000  0.000  0.008  0.024 -12.000  0.000  59.740],59.73950757856586
57,1.3333333333333335,1.8,24,1,2500,[ 0.000  0.000  5.439  8.097 -11.188  0.000  587.771],587.7711084012926
58,1.3333333333333335,1.8,24,4,2500,[ 0.000  0.000  0.007  0.023 -12.000  0.000  59.732],59.73189822065508
59,1.3333333333333335,1.8,24,7,2500,[ 0.000  0.000  0.007  0.023 -12.000  0.000  59.728],59.7282804739679
60,1.3333333333333335,2.2,0,1,2500,[ 0.000  0.000  5.582  6.999 -11.384  0.000  536.396],536.3963517735885
61,1.3333333333333335,2.2,0,4,2500,[ 0.000  0.000  5.388  7.964 -10.483  0.000  584.112],584.1123806188418
62,1.3333333333333335,2.2,0,7,2500,[ 0.000  0.000  5.388  7.964 -10.483  0.000  584.112],584.1123806188418
63,1.3333333333333335,2.2,8,1,2500,[ 0.000  0.000  5.434  6.084 -11.250  0.000  489.005],489.00548747070184
64,1.3333333333333335,2.2,8,4,2500,[ 0.000  0.000  0.007  0.028 -12.000  0.000  59.688],59.6880783835491
65,1.3333333333333335,2.2,8,7,2500,[ 0.000  0.000  0.006  0.028 -12.000  0.000  59.685],59.68544291494446
66,1.3333333333333335,2.2,16,1,2500,[ 0.000  0.000  5.549  10.160 -12.037  0.000  590.300],590.3003362163444
67,1.3333333333333335,2.2,16,4,2500,[ 0.000  0.000  0.006  0.027 -12.000  0.000  59.680],59.68040051743731
68,1.3333333333333335,2.2,16,7,2500,[ 0.000  0.000  0.006  0.026 -12.000  0.000  59.678],59.67798707658185
69,1.3333333333333335,2.2,24,1,2500,[ 0.000  0.000  5.415  7.608 -12.446  0.000  569.262],569.2617818539218
70,1.3333333333333335,2.2,24,4,2500,[ 0.000  0.000  0.006  0.026 -12.000  0.000  59.673],59.67336078385212
71,1.3333333333333335,2.2,24,7,2500,[ 0.000  0.000  0.006  0.025 -12.000  0.000  59.671],59.67114245071589
72,1.8666666666666667,1.4,0,1,2500,[ 0.000  0.000  4.559  4.099 -11.109  0.000  274.985],274.98518089767254
73,1.8666666666666667,1.4,0,4,2500,[ 0.000  0.000  5.629  4.341 -12.057  0.000  384.373],384.3731627574116
74,1.8666666666666667,1.4,0,7,2500,[ 0.000  0.000  5.629  4.341 -12.057  0.000  384.373],384.3731627574116
75,1.8666666666666667,1.4,8,1,2500,[ 0.000  0.000  5.474  4.775 -14.840  0.000  384.076],384.0756211205706
76,1.8666666666666667,1.4,8,4,2500,[ 0.000  0.000  0.001  0.005 -8.400  0.000  58.274],58.27413514686626
77,1.8666666666666667,1.4,8,7,2500,[ 0.000  0.000  0.001  0.005 -8.400  0.000  58.274],58.274342567562684
78,1.8666666666666667,1.4,16,1,2500,[ 0.000  0.000  5.473  4.775 -14.840  0.000  383.756],383.75570857962634
79,1.8666666666666667,1.4,16,4,2500,[ 0.000  0.000  0.001  0.005 -8.400  0.000  58.275],58.27474202488342
80,1.8666666666666667,1.4,16,7,2500,[ 0.000  0.000  0.001  0.005 -8.400  0.000  58.275],58.27493443720118
81,1.8666666666666667,1.4,24,1,2500,[ 0.000  0.000  5.673  8.302 -13.898  0.000  573.110],573.1102428987906
82,1.8666666666666667,1.4,24,4,2500,[ 0.000  0.000  0.001  0.005 -8.400  0.000  58.275],58.27530550121459
83,1.8666666666666667,1.4,24,7,2500,[ 0.000  0.000  0.001  0.004 -8.400  0.000  58.275],58.27548447708263
84,1.8666666666666667,1.8,0,1,2500,[ 0.000  0.000  5.458  5.832 -9.699  0.000  469.300],469.2995618179109
85,1.8666666666666667,1.8,0,4,2500,[ 0.000  0.000  5.443  7.520 -12.584  0.000  565.468],565.4676485585703
86,1.8666666666666667,1.8,0,7,2500,[ 0.000  0.000  5.376  8.451 -12.329  0.000  590.773],590.7727495121192
87,1.8666666666666667,1.8,8,1,2500,[ 0.000  0.000  4.510  4.517 -11.524  0.000  287.909],287.9090165285486
88,1.8666666666666667,1.8,8,4,2500,[ 0.000  0.000  0.003  0.011 -8.400  0.000  58.243],58.242521537831195
89,1.8666666666666667,1.8,8,7,2500,[ 0.000  0.000  0.003  0.011 -8.400  0.000  58.243],58.24304842898843
90,1.8666666666666667,1.8,16,1,2500,[ 0.000  0.000  5.813  4.011 -14.689  0.000  358.251],358.2505339614973
91,1.8666666666666667,1.8,16,4,2500,[ 0.000  0.000  0.003  0.011 -8.400  0.000  58.244],58.244068240100816
92,1.8666666666666667,1.8,16,7,2500,[ 0.000  0.000  0.003  0.011 -8.400  0.000  58.245],58.24456188238878
93,1.8666666666666667,1.8,24,1,2500,[ 0.000  0.000  5.813  4.009 -14.689  0.000  357.969],357.9694653981425
94,1.8666666666666667,1.8,24,4,2500,[ 0.000  0.000  0.003  0.010 -8.400  0.000  58.246],58.24551833346604
95,1.8666666666666667,1.8,24,7,2500,[ 0.000  0.000  0.003  0.010 -8.400  0.000  58.246],58.24598177760663
96,1.8666666666666667,2.2,0,1,2500,[ 0.000  0.000  5.359  8.206 -12.375  0.000  583.225],583.2248112449548
97,1.8666666666666667,2.2,0,4,2500,[ 0.000  0.000  5.396  9.070 -13.117  0.000  606.219],606.2194098600902
98,1.8666666666666667,2.2,0,7,2500,[ 0.000  0.000  5.396  9.070 -13.117  0.000  606.219],606.2194098600902
99,1.8666666666666667,2.2,8,1,2500,[ 0.000  0.000  5.511  5.520 -11.384  0.000  461.032],461.0315141938889
